Symbol,Signal,Type,EntryTime,Macro,Phase,Month,PnL_USD,ExitReason,BarsHeld
BNBUSDT,LiquiditySweepLong,LONG,2025-06-23T00:00:00.000Z,FLAT,TEST,2025-06,5.67,TP1,47
BNBUSDT,LiquiditySweepLong,LONG,2025-07-01T20:00:00.000Z,FLAT,TEST,2025-07,1.19,TP2,2
BNBUSDT,BreakoutLong,LONG,2025-07-02T12:00:00.000Z,FLAT,TEST,2025-07,5.11,TP1,70
BNBUSDT,BreakoutLong,LONG,2025-07-14T04:00:00.000Z,FLAT,TEST,2025-07,-2.67,STOP,4
BNBUSDT,EmaRetestLong,LONG,2025-07-19T00:00:00.000Z,UP,TEST,2025-07,4.19,TP1,14
BNBUSDT,EngulfingPullback,LONG,2025-07-22T08:00:00.000Z,UP,TEST,2025-07,4.00,TP1,4
BNBUSDT,EmaRetestLong,LONG,2025-07-23T20:00:00.000Z,UP,TEST,2025-07,-3.15,STOP,2
BNBUSDT,EmaRetestLong,LONG,2025-07-24T12:00:00.000Z,UP,TEST,2025-07,-2.96,STOP,3
BNBUSDT,EmaRetestLong,LONG,2025-07-25T08:00:00.000Z,UP,TEST,2025-07,4.77,TP1,13
BNBUSDT,EmaRetestLong,LONG,2025-07-29T00:00:00.000Z,UP,TEST,2025-07,-1.87,STOP,3
BNBUSDT,LiquiditySweepLong,LONG,2025-08-02T00:00:00.000Z,UP,TEST,2025-08,-2.64,STOP,3
BNBUSDT,LiquiditySweepLong,LONG,2025-08-03T00:00:00.000Z,UP,TEST,2025-08,3.07,TP1,22
BNBUSDT,EmaRetestLong,LONG,2025-08-06T16:00:00.000Z,UP,TEST,2025-08,3.83,TP1,15
BNBUSDT,EmaRetestLong,LONG,2025-08-10T12:00:00.000Z,UP,TEST,2025-08,2.13,TP1,3
BNBUSDT,EmaRetestLong,LONG,2025-08-11T00:00:00.000Z,UP,TEST,2025-08,-2.74,STOP,2
BNBUSDT,EmaRetestLong,LONG,2025-08-11T12:00:00.000Z,UP,TEST,2025-08,3.67,TP1,10
BNBUSDT,EmaRetestLong,LONG,2025-08-14T20:00:00.000Z,UP,TEST,2025-08,-2.01,STOP,4
BNBUSDT,EmaRetestLong,LONG,2025-08-16T04:00:00.000Z,UP,TEST,2025-08,2.26,TP1,7
BNBUSDT,EmaRetestLong,LONG,2025-08-18T12:00:00.000Z,UP,TEST,2025-08,-1.76,STOP,7
BNBUSDT,EmaRetestLong,LONG,2025-08-22T00:00:00.000Z,UP,TEST,2025-08,2.84,TP1,3
BNBUSDT,EmaRetestLong,LONG,2025-08-24T20:00:00.000Z,UP,TEST,2025-08,-2.10,STOP,2
BNBUSDT,EngulfingPullback,LONG,2025-08-26T12:00:00.000Z,UP,TEST,2025-08,2.50,TP1,11
BNBUSDT,EmaRetestLong,LONG,2025-08-28T08:00:00.000Z,UP,TEST,2025-08,-1.51,STOP,5
BNBUSDT,EmaRetestLong,LONG,2025-08-30T20:00:00.000Z,UP,TEST,2025-08,-0.94,STOP,7
BNBUSDT,EmaRetestLong,LONG,2025-09-01T04:00:00.000Z,UP,TEST,2025-09,-2.02,STOP,2
BNBUSDT,LiquiditySweepLong,LONG,2025-09-02T00:00:00.000Z,UP,TEST,2025-09,2.85,TP1,35
BNBUSDT,BreakoutLong,LONG,2025-09-07T20:00:00.000Z,UP,TEST,2025-09,4.22,TP1,29
BNBUSDT,BreakoutLong,LONG,2025-09-12T16:00:00.000Z,UP,TEST,2025-09,5.85,TP1,31
BNBUSDT,EmaRetestLong,LONG,2025-09-19T20:00:00.000Z,UP,TEST,2025-09,2.91,TP2,4
BNBUSDT,EmaRetestLong,LONG,2025-09-23T12:00:00.000Z,UP,TEST,2025-09,-2.59,STOP,4
BNBUSDT,EmaRetestLong,LONG,2025-09-24T04:00:00.000Z,UP,TEST,2025-09,-2.69,STOP,6
BNBUSDT,LiquiditySweepLong,LONG,2025-09-26T12:00:00.000Z,UP,TEST,2025-09,2.22,TP1,3
BNBUSDT,EmaRetestLong,LONG,2025-09-27T12:00:00.000Z,UP,TEST,2025-09,-1.38,STOP,5
BNBUSDT,EmaRetestLong,LONG,2025-09-28T08:00:00.000Z,UP,TEST,2025-09,3.34,TP2,4
BNBUSDT,EmaRetestLong,LONG,2025-09-30T16:00:00.000Z,UP,TEST,2025-09,2.80,TP1,9
BNBUSDT,BreakoutLong,LONG,2025-10-02T08:00:00.000Z,UP,TEST,2025-10,8.79,TP2,7
BNBUSDT,EmaRetestLong,LONG,2025-10-10T04:00:00.000Z,UP,TEST,2025-10,-1.74,STOP,2
BNBUSDT,LiquiditySweepLong,LONG,2025-10-21T08:00:00.000Z,UP,TEST,2025-10,2.67,TP1,1
BNBUSDT,EmaRetestLong,LONG,2025-10-23T00:00:00.000Z,UP,TEST,2025-10,5.82,TP1,3
BNBUSDT,EmaRetestLong,LONG,2025-10-24T16:00:00.000Z,UP,TEST,2025-10,2.26,TP1,11
BNBUSDT,EmaRetestLong,LONG,2025-10-26T20:00:00.000Z,UP,TEST,2025-10,2.63,TP1,3
BNBUSDT,EmaRetestLong,LONG,2025-10-27T16:00:00.000Z,UP,TEST,2025-10,-1.42,STOP,3
BNBUSDT,EmaRetestLong,LONG,2025-10-28T12:00:00.000Z,UP,TEST,2025-10,-1.02,STOP,2
BNBUSDT,EmaRetestLong,LONG,2025-11-07T04:00:00.000Z,UP,TEST,2025-11,-2.67,STOP,1
BNBUSDT,EmaRetestLong,LONG,2025-11-09T04:00:00.000Z,UP,TEST,2025-11,-1.59,STOP,12
BNBUSDT,LiquiditySweepLong,LONG,2025-11-11T08:00:00.000Z,UP,TEST,2025-11,-1.12,STOP,2
BNBUSDT,LiquiditySweepLong,LONG,2025-11-12T20:00:00.000Z,UP,TEST,2025-11,-1.75,STOP,5
BNBUSDT,EmaRetestLong,LONG,2025-11-15T16:00:00.000Z,UP,TEST,2025-11,-1.51,STOP,1
BNBUSDT,EmaRetestLong,LONG,2025-11-16T00:00:00.000Z,UP,TEST,2025-11,-2.22,STOP,4
BNBUSDT,EmaRetestLong,LONG,2025-11-17T04:00:00.000Z,UP,TEST,2025-11,-1.85,STOP,2
BNBUSDT,LiquiditySweepLong,LONG,2025-11-18T04:00:00.000Z,UP,TEST,2025-11,-2.90,STOP,9
BNBUSDT,LiquiditySweepLong,LONG,2025-11-21T12:00:00.000Z,UP,TEST,2025-11,2.70,TP1,3
BNBUSDT,EmaRetestLong,LONG,2025-11-24T00:00:00.000Z,UP,TEST,2025-11,-1.76,STOP,3
BNBUSDT,EmaRetestLong,LONG,2025-11-25T16:00:00.000Z,UP,TEST,2025-11,3.98,TP1,6
BNBUSDT,EmaRetestLong,LONG,2025-11-28T08:00:00.000Z,UP,TEST,2025-11,-1.37,STOP,2
BNBUSDT,EmaRetestLong,LONG,2025-11-28T20:00:00.000Z,UP,TEST,2025-11,-1.46,STOP,5
BNBUSDT,EmaRetestLong,LONG,2025-11-30T12:00:00.000Z,UP,TEST,2025-11,-2.31,STOP,3
BNBUSDT,EmaRetestLong,LONG,2025-12-04T20:00:00.000Z,UP,TEST,2025-12,-1.65,STOP,4
BNBUSDT,EngulfingPullback,LONG,2025-12-06T12:00:00.000Z,UP,TEST,2025-12,-1.06,STOP,6
BNBUSDT,EmaRetestLong,LONG,2025-12-07T12:00:00.000Z,UP,TEST,2025-12,-2.36,STOP,21
BNBUSDT,LiquiditySweepLong,LONG,2025-12-11T16:00:00.000Z,UP,TEST,2025-12,-2.03,STOP,23
BNBUSDT,EmaRetestLong,LONG,2025-12-16T12:00:00.000Z,UP,TEST,2025-12,-2.35,STOP,6
BNBUSDT,LiquiditySweepLong,LONG,2025-12-17T20:00:00.000Z,UP,TEST,2025-12,-1.37,STOP,2
BNBUSDT,LiquiditySweepLong,LONG,2025-12-18T08:00:00.000Z,UP,TEST,2025-12,-1.37,STOP,2
BNBUSDT,EmaRetestLong,LONG,2025-12-19T16:00:00.000Z,UP,TEST,2025-12,-1.66,STOP,23
BNBUSDT,LiquiditySweepLong,LONG,2025-12-24T12:00:00.000Z,UP,TEST,2025-12,-0.98,STOP,8
BNBUSDT,LiquiditySweepLong,LONG,2025-12-26T16:00:00.000Z,UP,TEST,2025-12,2.75,TP1,11
BNBUSDT,EmaRetestLong,LONG,2025-12-28T12:00:00.000Z,UP,TEST,2025-12,3.72,TP1,43
BNBUSDT,BreakoutLong,LONG,2026-01-04T16:00:00.000Z,UP,TEST,2026-01,3.67,TP1,54
BNBUSDT,EmaRetestLong,LONG,2026-01-15T04:00:00.000Z,UP,TEST,2026-01,-1.31,STOP,3
BNBUSDT,EmaRetestLong,LONG,2026-01-15T20:00:00.000Z,UP,TEST,2026-01,2.49,TP2,10
BNBUSDT,EmaRetestLong,LONG,2026-01-17T12:00:00.000Z,UP,TEST,2026-01,-2.19,STOP,8
BNBUSDT,LiquiditySweepLong,LONG,2026-01-19T04:00:00.000Z,UP,TEST,2026-01,-2.89,STOP,8
BNBUSDT,EmaRetestLong,LONG,2026-01-26T20:00:00.000Z,UP,TEST,2026-01,2.43,TP1,8
BNBUSDT,BreakoutLong,LONG,2026-01-28T04:00:00.000Z,FLAT,TEST,2026-01,-2.97,STOP,8
BNBUSDT,LiquiditySweepLong,LONG,2026-01-29T20:00:00.000Z,FLAT,TEST,2026-01,-1.98,STOP,1
BNBUSDT,LiquiditySweepLong,LONG,2026-01-30T12:00:00.000Z,FLAT,TEST,2026-01,-2.14,STOP,6
BNBUSDT,EngulfingRally,SHORT,2026-02-04T08:00:00.000Z,DOWN,TEST,2026-02,3.61,TP1,2
BNBUSDT,EmaRetestShort,SHORT,2026-02-08T20:00:00.000Z,DOWN,TEST,2026-02,3.93,TP1,14
BNBUSDT,EmaRetestShort,SHORT,2026-02-12T04:00:00.000Z,DOWN,TEST,2026-02,-0.78,STOP,1
BNBUSDT,EmaRetestShort,SHORT,2026-02-12T12:00:00.000Z,DOWN,TEST,2026-02,-2.07,STOP,8
BNBUSDT,EmaRetestShort,SHORT,2026-02-15T16:00:00.000Z,DOWN,TEST,2026-02,-3.04,STOP,8
BNBUSDT,EmaRetestShort,SHORT,2026-02-17T08:00:00.000Z,DOWN,TEST,2026-02,-1.79,STOP,21
BNBUSDT,EmaRetestShort,SHORT,2026-02-22T12:00:00.000Z,DOWN,TEST,2026-02,4.33,TP2,3
BNBUSDT,EmaRetestShort,SHORT,2026-02-23T12:00:00.000Z,DOWN,TEST,2026-02,2.59,TP1,4
BNBUSDT,LiquiditySweepLong,LONG,2026-02-24T16:00:00.000Z,DOWN,TEST,2026-02,3.80,TP1,5
BNBUSDT,EmaRetestShort,SHORT,2026-02-27T08:00:00.000Z,DOWN,TEST,2026-02,-3.10,STOP,19
BNBUSDT,EmaRetestShort,SHORT,2026-03-06T08:00:00.000Z,DOWN,TEST,2026-03,3.79,TP1,15
BNBUSDT,LiquiditySweepLong,LONG,2026-03-09T00:00:00.000Z,DOWN,TEST,2026-03,4.75,TP1,21
BNBUSDT,EmaRetestShort,SHORT,2026-03-17T08:00:00.000Z,DOWN,TEST,2026-03,2.87,TP1,7
BNBUSDT,LiquiditySweepLong,LONG,2026-03-19T00:00:00.000Z,DOWN,TEST,2026-03,-1.46,STOP,1
BNBUSDT,BreakoutShort,SHORT,2026-03-19T12:00:00.000Z,DOWN,TEST,2026-03,5.49,TP1,62
BNBUSDT,LiquiditySweepLong,LONG,2026-03-30T00:00:00.000Z,FLAT,TEST,2026-03,-3.15,STOP,18
BNBUSDT,EmaRetestShort,SHORT,2026-04-05T04:00:00.000Z,DOWN,TEST,2026-04,-0.89,STOP,2
BNBUSDT,EmaRetestShort,SHORT,2026-04-05T16:00:00.000Z,DOWN,TEST,2026-04,-0.93,STOP,1
BNBUSDT,EmaRetestShort,SHORT,2026-04-07T08:00:00.000Z,DOWN,TEST,2026-04,-1.76,STOP,2
BNBUSDT,BreakoutShort,SHORT,2026-04-12T00:00:00.000Z,FLAT,TEST,2026-04,-3.16,STOP,11
BNBUSDT,BreakoutLong,LONG,2026-04-17T12:00:00.000Z,FLAT,TEST,2026-04,-3.10,STOP,9
BNBUSDT,BreakoutLong,LONG,2026-04-22T04:00:00.000Z,FLAT,TEST,2026-04,-2.72,STOP,32
BNBUSDT,BreakoutShort,SHORT,2026-04-27T12:00:00.000Z,FLAT,TEST,2026-04,-3.09,STOP,53
BNBUSDT,EmaRetestShort,SHORT,2026-05-12T12:00:00.000Z,DOWN,TEST,2026-05,-2.07,STOP,2
BNBUSDT,EmaRetestShort,SHORT,2026-05-15T12:00:00.000Z,DOWN,TEST,2026-05,5.15,TP1,76
BNBUSDT,LiquiditySweepLong,LONG,2026-05-28T16:00:00.000Z,DOWN,TEST,2026-05,3.47,TP1,9
BNBUSDT,EmaRetestShort,SHORT,2026-06-02T04:00:00.000Z,DOWN,TEST,2026-06,3.86,TP1,4
BNBUSDT,LiquiditySweepLong,LONG,2026-06-04T12:00:00.000Z,DOWN,TEST,2026-06,-3.05,STOP,4
BNBUSDT,EmaRetestShort,SHORT,2026-06-07T12:00:00.000Z,DOWN,TEST,2026-06,-1.48,STOP,2
BNBUSDT,EmaRetestShort,SHORT,2026-06-09T08:00:00.000Z,DOWN,TEST,2026-06,-1.66,STOP,14
BNBUSDT,BreakoutLong,LONG,2026-06-14T20:00:00.000Z,FLAT,TEST,2026-06,-2.37,STOP,10
BNBUSDT,LiquiditySweepLong,LONG,2026-06-17T12:00:00.000Z,FLAT,TEST,2026-06,-1.03,STOP,1
BNBUSDT,BreakoutShort,SHORT,2026-06-17T16:00:00.000Z,FLAT,TEST,2026-06,4.43,TP1,41
AVAXUSDT,LiquiditySweepLong,LONG,2021-07-17T04:00:00.000Z,FLAT,TRAIN,2021-07,-2.09,STOP,1
AVAXUSDT,LiquiditySweepLong,LONG,2021-07-17T12:00:00.000Z,FLAT,TRAIN,2021-07,2.62,TP1,3
AVAXUSDT,LiquiditySweepLong,LONG,2021-07-18T16:00:00.000Z,FLAT,TRAIN,2021-07,-1.55,STOP,2
AVAXUSDT,EmaRetestShort,SHORT,2021-08-03T08:00:00.000Z,DOWN,TRAIN,2021-08,-2.66,STOP,7
AVAXUSDT,EngulfingRally,SHORT,2021-08-06T00:00:00.000Z,DOWN,TRAIN,2021-08,-2.75,STOP,3
AVAXUSDT,EmaRetestLong,LONG,2021-08-28T08:00:00.000Z,UP,TRAIN,2021-08,3.14,TP2,1
AVAXUSDT,EmaRetestLong,LONG,2021-09-02T08:00:00.000Z,UP,TRAIN,2021-09,-2.50,STOP,1
AVAXUSDT,EmaRetestLong,LONG,2021-09-06T20:00:00.000Z,UP,TRAIN,2021-09,-2.23,STOP,1
AVAXUSDT,EmaRetestLong,LONG,2021-09-24T20:00:00.000Z,UP,TRAIN,2021-09,-2.25,STOP,1
AVAXUSDT,EmaRetestLong,LONG,2021-09-30T20:00:00.000Z,UP,TRAIN,2021-09,-2.99,STOP,2
AVAXUSDT,EmaRetestLong,LONG,2021-10-02T04:00:00.000Z,UP,TRAIN,2021-10,5.05,TP2,2
AVAXUSDT,LiquiditySweepLong,LONG,2021-10-05T16:00:00.000Z,UP,TRAIN,2021-10,2.58,TP1,1
